USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.1  0.0  23520 14712 ?        Ss   15:43   0:02 /sbin/init splash
root           2  0.0  0.0      0     0 ?        S    15:43   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    15:43   0:00 [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   15:43   0:00 [kworker/R-rcu_gp]
root           5  0.0  0.0      0     0 ?        I<   15:43   0:00 [kworker/R-sync_wq]
root           6  0.0  0.0      0     0 ?        I<   15:43   0:00 [kworker/R-kvfree_rcu_reclaim]
root           7  0.0  0.0      0     0 ?        I<   15:43   0:00 [kworker/R-slub_flushwq]
root           8  0.0  0.0      0     0 ?        I<   15:43   0:00 [kworker/R-netns]
root          10  0.0  0.0      0     0 ?        I<   15:43   0:00 [kworker/0:0H-events_highpri]
root          13  0.0  0.0      0     0 ?        I<   15:43   0:00 [kworker/R-mm_percpu_wq]
root          14  0.0  0.0      0     0 ?        I    15:43   0:00 [rcu_tasks_kthread]
root          15  0.0  0.0      0     0 ?        I    15:43   0:00 [rcu_tasks_rude_kthread]
root          16  0.0  0.0      0     0 ?        I    15:43   0:00 [rcu_tasks_trace_kthread]
root          17  0.0  0.0      0     0 ?        S    15:43   0:00 [ksoftirqd/0]
root          18  0.3  0.0      0     0 ?        I    15:43   0:05 [rcu_preempt]
root          19  0.0  0.0      0     0 ?        S    15:43   0:00 [rcu_exp_par_gp_kthread_worker/1]
root          20  0.0  0.0      0     0 ?        S    15:43   0:00 [rcu_exp_gp_kthread_worker]
root          21  0.0  0.0      0     0 ?        S    15:43   0:00 [migration/0]
root          22  0.0  0.0      0     0 ?        S    15:43   0:00 [idle_inject/0]
root          23  0.0  0.0      0     0 ?        S    15:43   0:00 [cpuhp/0]
root          24  0.0  0.0      0     0 ?        S    15:43   0:00 [cpuhp/2]
root          25  0.0  0.0      0     0 ?        S    15:43   0:00 [idle_inject/2]
root          26  0.0  0.0      0     0 ?        S    15:43   0:00 [migration/2]
root          27  0.0  0.0      0     0 ?        S    15:43   0:00 [ksoftirqd/2]
root          28  0.0  0.0      0     0 ?        I    15:43   0:00 [kworker/2:0-events]
root          29  0.0  0.0      0     0 ?        I<   15:43   0:00 [kworker/2:0H-events_highpri]
root          30  0.0  0.0      0     0 ?        S    15:43   0:00 [cpuhp/4]
root          31  0.0  0.0      0     0 ?        S    15:43   0:00 [idle_inject/4]
root          32  0.0  0.0      0     0 ?        S    15:43   0:00 [migration/4]
root          33  0.0  0.0      0     0 ?        S    15:43   0:00 [ksoftirqd/4]
root          35  0.0  0.0      0     0 ?        I<   15:43   0:00 [kworker/4:0H-events_highpri]
root          36  0.0  0.0      0     0 ?        S    15:43   0:00 [cpuhp/6]
root          37  0.0  0.0      0     0 ?        S    15:43   0:00 [idle_inject/6]
root          38  0.0  0.0      0     0 ?        S    15:43   0:00 [migration/6]
root          39  0.0  0.0      0     0 ?        S    15:43   0:00 [ksoftirqd/6]
root          41  0.0  0.0      0     0 ?        I<   15:43   0:00 [kworker/6:0H-events_highpri]
root          42  0.0  0.0      0     0 ?        S    15:43   0:00 [cpuhp/8]
root          43  0.0  0.0      0     0 ?        S    15:43   0:00 [idle_inject/8]
root          44  0.0  0.0      0     0 ?        S    15:43   0:00 [migration/8]
